id;name_products;amount_kilo;price_kilo;price_total;city;available_date;state_transportations;descriptions
1;experiences auxiliary AGP;18705;74324;51901;Abreuport;2022-06-03;NO;Aragón Fantástico
2;Inversor Pound;56124;33217;8794;Granada Catalina;2022-06-03;NO;withdrawal sexy
3;Queso;52477;74064;19603;Medford;2022-06-03;NO;circuit Proactivo
4;Uruguay Gerente intranet;4041;77968;51962;Mountain View;2022-06-03;SI;Ergonómico Sopa
5;withdrawal Desarrollador Respuesta;21042;76465;35845;Zamora Óscar;2022-06-03;NO;generate
6;Genérico navigating invoice;2335;11121;66927;Danielaburgh;2022-06-03;SI;GB Supervisor Explanada
7;Dinar;9160;51981;60297;Zamoramouth;2022-06-03;NO;Savings visionary
8;dedicada;47010;59444;8847;Sagunto Jorgetown;2022-06-03;SI;Ensalada Credit payment
9;Directo;61494;97032;4882;San Cristróbal de la Laguna Beatrizton;2022-06-03;NO;Directo
10;cross-media;90599;60746;57299;Cuenta Luis Miguel;2022-06-03;SI;Asociado
