id;name_products;amount;directions;city;orderdate;date_of_delivery
1;Supervisor;19378;Reactivo;Barcelona Irene;2022-06-03;2022-06-03
2;invoice;67903;leading-edge;Preciadoborough;2022-06-03;2022-06-03
3;Arquitecto SQL;17541;Paradigma leading-edge backing;Ramonastad;2022-06-03;2022-06-03
4;driver Agente;1814;Entrada;Viladecans Diana;2022-06-03;2022-06-02
5;Guapo;16276;Buckinghamshire Loan;Amaliabury;2022-06-03;2022-06-03
6;reserved Indonesia deposit;14487;payment mobile base;Bertaberg;2022-06-03;2022-06-03
7;analista Supervisor;52228;Suecia Account;Reus Bernardo;2022-06-03;2022-06-03
8;deposit;63082;alto;Alcorcón Julio;2022-06-03;2022-06-03
9;Bedfordshire de;26152;payment Gerente;Cádiz Leonorborough;2022-06-03;2022-06-03
10;Práctico Guapa;35001;Compatible;Vacaville;2022-06-03;2022-06-03
